Dataset,Model,CV_RMSE,CV_MAE,CV_MSE,CV_R^2,Best_Params
FPT,Linear Regression,0.4126552771847758,0.2919431186917397,0.17028437778844413,0.9997371741522985,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}"
FPT,Ridge Regression,0.41871990695263245,0.2953142969128304,0.17532636047842118,0.9997312304407956,{'alpha': 0.1}
FPT,Lasso Regression,0.5454286716364187,0.3568951772700459,0.29749243584306834,0.9995502123018516,{'alpha': 0.01}
FPT,Random Forest Regressor,0.7032403213641537,0.41278560426939137,0.4945469495923581,0.9992505716780352,"{'max_depth': 10, 'n_estimators': 200}"
FPT,XGBoost Regressor,0.6032994942045944,0.34611841354929046,0.36397027970751944,0.9994538120828196,"{'learning_rate': 0.1, 'n_estimators': 200}"
HPG,Linear Regression,0.15424043040035731,0.11710685852148557,0.023790110370087467,0.9996558550645332,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}"
HPG,Ridge Regression,0.15502913371628493,0.11793932864965792,0.02403403230082175,0.9996523022788878,{'alpha': 0.1}
HPG,Lasso Regression,0.19831044294338288,0.14369024982764272,0.039327031780400715,0.9994305785635513,{'alpha': 0.01}
HPG,Random Forest Regressor,0.24164489527162286,0.15881472535140567,0.05839225541083358,0.9991507852598387,"{'max_depth': 10, 'n_estimators': 200}"
HPG,XGBoost Regressor,0.19303969814270588,0.12920276753841295,0.037264325059027006,0.9994628300689461,"{'learning_rate': 0.1, 'n_estimators': 100}"
VCB,Linear Regression,0.38796179513254664,0.2807615174788061,0.1505143544824681,0.9990604622056957,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}"
VCB,Ridge Regression,0.3847348099371214,0.2754514962047118,0.14802087397735292,0.9990792562923507,{'alpha': 0.1}
VCB,Lasso Regression,0.4168361655908521,0.29577240507571073,0.17375238894448428,0.9989198015335017,{'alpha': 0.001}
VCB,Random Forest Regressor,0.5921260216971567,0.36414782554946734,0.35061322557090163,0.9977804378487942,"{'max_depth': 20, 'n_estimators': 200}"
VCB,XGBoost Regressor,0.5298371343318155,0.31205843154711604,0.2807273889169502,0.9982148021856656,"{'learning_rate': 0.05, 'n_estimators': 200}"
VIC,Linear Regression,0.5705626806747591,0.41067304891831374,0.3255417725787672,0.9993696693835166,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}"
VIC,Ridge Regression,0.5652708039613816,0.40776120432370966,0.3195310818111467,0.9993810003194424,{'alpha': 0.1}
VIC,Lasso Regression,0.6134619918105476,0.42192030110182327,0.37633561539616445,0.9992690496435317,{'alpha': 0.001}
VIC,Random Forest Regressor,0.8107242415317073,0.48004345650185487,0.6572737958071622,0.9987355824576009,"{'max_depth': 20, 'n_estimators': 200}"
VIC,XGBoost Regressor,0.6851678146908979,0.40536164176857065,0.4694549342883006,0.9990969931125304,"{'learning_rate': 0.1, 'n_estimators': 200}"
VNM,Linear Regression,0.32543907399160543,0.2345127813719668,0.10591059088051365,0.9982435673757133,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}"
VNM,Ridge Regression,0.31991187586813047,0.22889508992417618,0.10234360832146613,0.998299722994467,{'alpha': 0.5}
VNM,Lasso Regression,0.3246625539319197,0.2303366526335418,0.10540577392559665,0.9982441041026242,{'alpha': 0.001}
VNM,Random Forest Regressor,0.5196953947970998,0.31130660094568147,0.27008330337331343,0.9954460845221996,"{'max_depth': 10, 'n_estimators': 50}"
VNM,XGBoost Regressor,0.4883517277021528,0.281208278540028,0.23848740994967757,0.9959771397949508,"{'learning_rate': 0.05, 'n_estimators': 200}"
